Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Arizona,34,12_6,25_9,116.1,95.7,18.2,16,52.2,45.7,38.1,31.6,43.8,29.3,21
Seton Hall,34,12_6,25_9,110.8,91.4,19.4,19.5,48.8,44.3,34.7,31.7,40.4,33.8,22
California,34,12_6,23_11,112.4,92.8,17.7,14.1,51.1,41.5,36.3,34.7,41.7,37.5,23
SMU,30,13_5,25_5,117.2,97.1,18.8,18.3,52.5,44.6,42,33.1,33.8,30.4,24
Baylor,33,10_8,21_12,119.3,99.2,18.6,19.8,49.8,49.1,37.4,36.9,38.6,38.6,25
Butler,33,10_8,22_11,118.2,98.6,14.5,18.6,49.9,49.1,39.3,33.8,39.3,35.8,26
Syracuse,37,9_9,23_14,111.9,93.6,18.1,20.4,47.2,48.1,36,30.7,35.4,28,27
Iowa,33,12_6,22_11,114.4,95.8,14.8,18.8,48.7,48.7,37.4,31.3,33,25,28
Maryland,35,12_6,26_9,114.9,96.3,18.9,16.4,55.8,45.5,36.2,32.1,37,27,29
Saint Mary's,34,15_3,28_6,117.6,98.6,15.4,15.5,56.4,44.8,41,32.7,29,24.1,30
VCU,36,14_4,25_11,112.1,94.2,16.3,21.4,50.1,48.6,35.2,33.7,32.2,36.8,31
Utah,35,13_5,26_9,115.8,97.3,18.2,15.3,55.5,44.5,36.3,37.1,37.9,23,32
Connecticut,36,11_7,25_11,110.5,93.4,16.3,18.2,49.9,42,36.5,32.6,29.6,35.4,33
Florida,36,9_9,21_15,110,93.2,16,18.6,48.9,44.4,31.9,34.3,39.5,35.7,34
Cincinnati,33,12_6,22_11,110,93.5,16.3,20.3,47.7,41.3,34.8,35.7,33.2,27,35
Pittsburgh,32,9_9,20_12,113.9,96.9,17.5,16.9,50.4,48.4,35,35.4,36.1,32.4,36
Texas,33,11_7,20_13,112.2,95.6,15.4,18.5,48.5,45.8,34.1,34.5,39.5,38.4,37
Creighton,35,9_9,20_15,112.8,96.3,16.1,17.5,54.5,47.5,35.2,34.6,37.5,33.5,38
Saint Joseph's,36,13_5,28_8,114.2,97.6,14.3,16.1,52.3,49.2,32.7,31.1,37.4,25,39
Wisconsin,35,12_6,22_13,108.8,93.5,17.1,18.6,46.6,44.8,34.9,37.4,38,33.6,40
Valparaiso,35,16_2,28_7,106.6,91.8,19,18.5,48.3,41.5,36.5,33.9,35.1,38.7,41
George Washington,38,11_7,28_10,114.9,99.1,16.5,17.5,48.4,48.2,37.1,33,39.1,27,42
Georgia Tech,36,8_10,21_15,113.9,98.2,16.7,14.6,48.4,49.5,35.7,32,31.7,31.7,43
Kansas St.,33,5_13,17_16,108.5,93.8,20.3,20.8,48.7,50.4,30,31,42.5,40.4,44
San Diego St.,36,16_2,26_10,104,90.3,18.4,18,46.3,41.6,32.6,29.4,42.5,31.3,45
USC,34,9_9,21_13,113.7,98.7,16.6,16.7,49.4,46.6,38.7,32.5,35.1,28.3,46
Notre Dame,36,11_7,24_12,118.3,103.3,15.3,14.8,52.9,46.5,37.4,36.9,32.9,26,47
Clemson,31,10_8,17_14,112.1,98,15.8,18,49.1,45.5,35.2,34.9,33.3,28.5,48
Stephen F. Austin,30,18_0,24_6,110.3,96.5,17.7,25.9,54.5,49.7,36.9,32.8,34.3,40.2,49
Texas Tech,32,9_9,19_13,113.1,98.9,17.8,19,49.2,47.2,34.6,35.6,42.2,32.9,50
BYU,36,13_5,25_11,112,98.1,15.8,17.8,50.2,47,38.4,33.7,35.3,31.9,51
Yale,29,13_1,22_7,109.1,95.6,19.9,17.8,51.4,45.5,36,32.7,41.7,33.3,52
Michigan,35,10_8,22_13,113.4,99.4,14.5,17.9,52.6,51.1,38,34.7,27.8,27,53
Providence,35,10_8,24_11,108.7,95.4,16.1,20.6,48,49.8,32.1,32.3,37.3,28,54
Dayton,33,14_4,25_8,105.5,92.6,18.6,18,51.5,43.7,34.4,34.9,40.8,32.8,55
Georgetown,33,7_11,15_18,111.3,98,19.1,16.3,51.4,44.1,33.9,34.9,37.9,49.3,56
Northern Iowa,35,11_7,22_13,109.7,96.7,15.2,18.5,51.3,48.9,37.2,32.4,34.1,24.8,57
South Carolina,33,11_7,24_9,108.1,95.3,18.9,20.5,46.6,42.9,35.4,35.8,43.2,38.2,58
Colorado,33,10_8,21_12,107.8,95.2,18.8,15.4,43.9,44.3,38.6,35.3,40.5,35.7,59
Florida St.,34,8_10,20_14,112.2,99.1,18,18.9,52.1,48.9,34.1,36.2,37.8,36.7,60
Hawaii,32,13_3,26_6,106.9,95,18.1,19.8,54.1,44.8,32.2,30,45.4,40.2,61
Princeton,28,12_2,21_7,112.2,99.9,16.2,18.2,52,47.6,38.1,35.4,33.9,31.1,62
Washington,34,9_9,19_15,110.1,98.1,17.4,20.5,47.3,47.2,33.1,33.1,41.2,44.6,63
Georgia,34,10_8,20_14,108,96.4,19.2,15.6,44.8,42.8,36.8,33.1,43.5,41.1,64
Oregon St.,31,9_9,18_13,109.9,98.1,16.6,19.5,46.9,50,37.4,32.4,36.8,39.3,65
Virginia Tech,35,10_8,20_15,109.5,97.8,18,17.9,49.1,50.1,34.8,31.3,49.4,33.5,66
UCLA,32,6_12,15_17,111.6,99.7,16.9,16.1,48.8,47.6,36.3,35.4,32.3,33.9,67
LSU,33,11_7,19_14,111.8,100.5,16.2,18.8,52,51.3,32.7,35,43,33.4,68
Arkansas Little Rock,33,17_3,28_5,107.6,96.7,15.6,21,48.9,45.7,38.2,30.9,31.5,38.3,69
Houston,32,12_6,22_10,116.2,104.6,15.4,18.4,52.1,48.3,34.8,30.3,34.4,36,70
Northwestern,32,8_10,20_12,109.8,99.2,15.8,16.4,51.6,43.4,35.8,34.5,28.4,35,71
Arkansas,32,9_9,16_16,109.5,99,15.3,19.6,46.1,47.7,39.7,35.9,37.6,42.9,72
Marquette,33,8_10,20_13,108.9,98.5,20,19,52.4,47.2,33.9,34.3,40.5,28,73
North Carolina St.,33,5_13,16_17,113.6,102.9,16.1,15,46.9,47.5,34.8,37.4,38.9,29.7,74
Mississippi,32,10_8,20_12,111,100.6,17.1,20.1,46.5,47.4,33.8,35.5,41.3,40.7,75
Tulsa,32,12_6,20_12,109.5,99.6,15.6,20.4,51.1,45,32.6,35.9,39.6,34.6,76
Memphis,34,8_10,19_15,105.9,96.4,16.4,18.9,45.1,44.6,32.4,30.5,41.9,38.4,77
Mississippi St.,31,7_11,14_17,108.7,99.1,18,18.5,52.6,47.5,33.4,34.3,29.5,36.3,78
Rhode Island,32,9_9,17_15,107.6,98.3,17.5,18.8,48.3,46.6,36.5,33.3,37.6,39.6,79
Alabama,33,8_10,18_15,105.4,96.3,19.9,18.2,48.5,45.1,33.9,32.9,40.7,39.1,80
South Dakota St.,32,12_4,24_8,110.5,101.1,17.1,17.2,49.7,47.1,36.1,33.3,40.2,40.2,81
Ohio St.,35,11_7,21_14,105.6,96.7,18.8,17.1,49,44.5,33.4,33.4,36,30.4,82
Temple,33,14_4,21_12,106.3,97.4,13.8,16.2,44.9,46.3,33.7,31.2,26.6,28.7,83
UC Irvine,36,13_3,26_10,105.5,96.7,18.2,17.4,49.3,41.6,36.7,33.2,35.1,34.7,84
Oklahoma St.,32,3_15,12_20,105.7,97,19.1,17.5,47.8,44.7,32.8,34.2,38.3,40.9,85
Evansville,33,12_6,24_9,105.7,97.3,18.2,18.4,53.2,44.4,35.9,32.6,46.9,29.4,86
UC Santa Barbara,32,11_5,18_14,106.3,97.9,18.5,17.5,48.4,47.8,35.8,30,27.4,41.8,87
William & Mary,29,11_7,18_11,112.4,103.6,15.9,15.3,54.8,49.4,36.7,33.1,36.6,27.9,88
Boise St.,30,11_7,18_12,108.2,99.7,16.4,20.2,53.7,50.9,32.6,36,40.9,36.8,89
Akron,34,13_5,25_9,109,100.5,15.5,16.7,48,47.5,38.2,30.1,30.6,32.4,90
UNC Wilmington,31,14_4,23_8,109.5,100.9,15.9,19.9,51,46.1,34.4,33.9,35.6,55.2,91
St. Bonaventure,31,14_4,22_9,113.2,104.4,16.5,19,48.8,50.5,37.3,32.1,37.5,37.4,92
Tennessee,34,6_12,15_19,110.5,102,15.8,17.3,47.4,47.1,32.7,34.2,34.1,37.3,93
Richmond,32,7_11,16_16,112.6,104,14.7,18.2,55.4,49.4,35.6,36,35.2,36.1,94
Nebraska,34,6_12,16_18,109,100.7,17.4,19.7,49.4,47.5,34.7,36.7,32.6,39.7,95
Arizona St.,32,5_13,15_17,108.3,100,17.1,18.3,46.6,51.4,33.6,35.4,37.8,38.1,96
Long Beach St.,33,12_4,18_15,108,99.8,17.4,19.8,46.4,50.3,36.7,35,37.6,38.7,97
Cal St. Bakersfield,30,11_3,21_9,103.4,95.7,18.2,21.5,48.5,42.8,34.3,33.4,38,42.1,98
Oakland,35,13_5,23_12,114.6,106.2,15.2,16.5,49.3,48.1,39.8,34.9,41.8,32.1,99
Monmouth,36,17_3,28_8,105.7,98.1,16.5,20.1,47.2,45.3,36.6,31.4,38.4,37.2,100
Old Dominion,38,12_6,25_13,105.5,97.9,14.4,17.2,48.7,44.4,30.1,31.5,31,35.8,101
Wake Forest,31,2_16,11_20,106.9,99.4,20.1,15.2,50.4,49.2,31.6,33.4,43.2,38.6,102
UT Arlington,34,13_7,23_11,106.1,98.7,18.7,20.1,49.5,44.4,32.5,33.7,34.4,43.3,103
James Madison,31,11_7,20_11,106,98.7,17.2,15.4,50.9,47.3,35,28.7,37,37,104
Hofstra,33,14_4,23_10,110.1,102.9,16.7,16.4,50.1,48.3,35.6,35.3,39.5,24,105
Iona,33,16_4,22_11,109.1,102.1,17.6,19.2,52.5,46,37,35.8,32.4,36.3,106
New Mexico,32,10_8,17_15,108.2,101.3,21,17,51,48.4,36.3,32.5,43.9,37.1,107
Stanford,29,8_10,14_15,106.7,99.9,17.5,19.8,47.4,49.9,31.8,36.9,45.3,39.9,108
Davidson,32,10_8,19_13,113,106,14.2,15.8,51.1,52.2,35.5,34.3,32.3,30.6,109
Fresno St.,33,13_5,23_10,106.3,100.1,15.1,21,47,48.4,34.4,33,37.7,46.4,110
New Mexico St.,32,13_1,21_11,101.3,95.9,20.2,16.2,50.7,42.3,32.5,33.5,36.9,28.4,111
Columbia,33,10_4,23_10,111.8,105.9,15.9,19,50.5,50.2,38.1,35.7,37.9,34.6,112
Stony Brook,31,14_2,24_7,104.6,99.2,17.3,18.4,50.7,45.8,37.2,34.1,32.2,27.6,113
Illinois St.,31,12_6,17_14,103.3,98,18.5,20.5,46.2,48.7,33.3,31.9,30.9,38.4,114
UNLV,31,8_10,16_15,103.2,98,18.9,19.5,50.1,46.1,32.8,32.7,40.9,40.1,115
Toledo,31,8_10,16_15,107.9,102.9,16.6,17.3,51.7,46.6,36.3,38.9,34.3,28.8,116
Chattanooga,33,15_3,27_6,105.6,100.8,18,20.2,50.7,50.5,35.6,33.7,41.6,30.9,117
Louisiana Monroe,32,15_5,18_14,106.9,102.2,18.2,17,50,46.6,34.5,32.7,32.2,33,118
Middle Tennessee,33,13_5,23_10,103.9,99.5,17.1,19.4,47.8,48,39.2,34.7,34.9,42.4,119
Milwaukee,31,10_8,18_13,111.1,106.4,15.8,15.6,51.9,48.7,35.9,38.3,38.3,29.6,120
UAB,32,16_2,25_7,108.1,103.8,17.8,18,52.6,48.1,37,33.1,33.4,29.8,121
Utah St.,29,7_11,14_15,110.3,106.1,17.5,16.5,49.2,50.1,37.9,35.2,33.6,33.2,122
Belmont,31,12_4,19_12,113.4,109.2,19.3,16.5,62.6,49.5,36.4,35.4,34.5,37.1,123
Northeastern,32,9_9,17_15,106.2,102.3,18.2,17.2,48.5,52,37.2,33.9,38.7,27.9,124
Louisiana Lafayette,32,12_8,17_15,108.9,105.2,17.5,16.5,49.9,47,31.1,37.8,42.2,35.5,125
Illinois,34,5_13,15_19,105.5,102,14.9,19,47.5,51,36.3,38.6,30.5,26.5,126
Ohio,34,11_7,22_12,110.1,106.5,16.9,14.5,52.3,47.1,38.2,36.4,37.4,33.5,127
College of Charleston,30,8_10,16_14,96.4,93.3,19.5,21.6,45.6,48.2,34,32,32.8,43.1,128
Wright St.,33,13_5,20_13,100.4,97.3,16.5,20.6,48.3,48.1,37.8,33,33,48.3,129
TCU,33,2_16,12_21,100.1,97,20.7,21.1,43.7,50.2,33.5,34.8,45.6,41.4,130
Nevada,36,10_8,22_14,100.8,97.7,17.6,17.3,46.3,44.9,29.1,32.3,43.2,39.6,131
Duquesne,33,6_12,16_17,108.2,105.1,18.9,15.6,53.1,42.8,36.6,40.2,33.6,38.6,132
Pepperdine,31,10_8,17_14,105.6,102.7,16,16.1,48.3,50.2,34,32.6,41.1,31.4,133
Siena,34,13_7,21_13,106.8,104,22.2,17.3,50.7,46.7,36.8,32.1,40.8,38.4,134
Buffalo,34,10_8,19_15,105.1,102.4,18.8,17.7,49,48.8,33.7,34.3,41.6,37.8,135
Green Bay,34,11_7,21_13,106.9,104.2,15.8,21.1,48.5,50,35,36.3,42.2,35.8,136
Albany,32,13_3,23_9,104.7,102.1,18.4,18.7,51.8,50.2,32.3,30.9,43.3,27.2,137
Grand Canyon,32,11_3,25_7,103.1,100.7,16.9,19.1,48.3,48.4,35.6,31.7,41.5,35.1,138
Southern Illinois,32,11_7,22_10,105,102.5,19.4,21.3,51,52.6,34.3,31.8,39.3,44.9,139
Marshall,33,12_6,17_16,109.8,107.3,16.4,17.1,57.2,50.7,33.7,37.4,31.2,35.9,140
Weber St.,32,15_3,23_9,101.7,99.5,19.6,15.6,55.3,45.2,35.5,35.6,45.7,28.1,141
Colorado St.,32,8_10,16_16,111.3,109.1,16.3,14.1,46.5,51.4,36.2,35.4,42.3,35.1,142
Central Michigan,30,10_8,14_16,110.3,108.3,13.6,15.9,50.8,50.7,35.2,34.4,30,35.2,143
IPFW,32,12_4,22_10,110.4,108.4,17.3,15.7,49,50.2,40.3,38.7,33.4,30,144
Morehead St.,35,11_5,21_14,105,103.2,18.6,21.4,45.8,49,36.2,35.7,35.3,53.7,145
UNC Asheville,32,12_6,20_12,101.2,99.4,18.6,22.2,50.2,52.1,32.1,29.6,41.8,33,146
Penn St.,32,7_11,16_16,101.3,99.7,16.9,17.6,45.9,45.5,31.7,36.6,34.5,42.5,147
Murray St.,29,10_6,15_14,106.8,105.1,17.8,19.2,50.1,51.1,36.1,36.1,34.1,40.8,148
Vermont,36,11_5,22_14,107.3,105.8,19.2,16.7,52.6,46.3,38.2,37,38.2,37.4,149
Massachusetts,32,6_12,14_18,102.1,100.7,17.5,17.1,48.8,49,33,31.3,36.5,40.2,150
Fordham,30,8_10,16_14,101.8,100.4,20.4,22.4,51.2,52.3,34.6,33.4,33.6,40.5,151
Towson,31,11_7,18_13,104.5,103.2,17.9,17.7,46.3,46.2,32.1,35.2,45.1,41,152
Montana,30,14_4,18_12,105.5,104.2,18.3,18.7,51.8,49.5,37.3,33,36.8,45.3,153
Eastern Michigan,29,9_9,14_15,105.7,104.4,17.4,20.9,49.5,47.6,31.5,36.8,43.5,42.9,154
Florida Gulf Coast,31,8_6,17_14,102.9,102.4,17.2,15.9,51.5,48.3,34.2,31.2,37.3,35.3,155
North Florida,31,10_4,19_12,113.5,113.1,15.3,14.4,54.7,51.8,40.9,34.6,28.7,27.1,156
North Dakota St.,31,8_8,18_13,100.1,99.8,16.2,16.9,49.1,47.2,34.1,32.4,33.9,31.8,157
Wyoming,30,7_11,12_18,108.3,108,17,15.8,50.8,48.4,37.2,35.4,45.9,39.1,158
Western Kentucky,32,8_10,16_16,108.1,107.8,19,15,51.5,50.4,36.3,37.3,39.6,30,159
Missouri,31,3_15,10_21,102.9,102.6,18,16,47.6,48,31,33.6,39.6,40.8,160
Nebraska Omaha,30,10_6,16_14,108.1,107.8,16.6,20.3,52.6,52.7,33.6,35.9,42.6,38.5,161
Harvard,28,6_8,12_16,99.3,99.1,21.5,16.8,48.1,46.4,39.2,31.3,31.5,33.5,162
Loyola Chicago,31,7_11,14_17,100.3,100.2,18.9,22.2,45.9,48.2,35.3,34.9,32.5,36.4,163
Ball St.,34,10_8,20_14,102.1,102.1,19.9,16.5,49.9,43.7,36.9,35.1,34.8,38.6,164
Louisiana Tech,31,12_6,21_10,102.7,102.8,16.9,19,52,49.7,33.3,32,43,34.1,165
Georgia St.,28,9_11,14_14,99.7,99.8,18,21.2,47.1,47,34.8,32.8,37.5,41.3,166
DePaul,31,3_15,9_22,103.9,104.1,21.5,17.8,48.6,49.2,34.3,36.4,36.5,44.8,167
Tennessee St.,29,11_5,18_11,99.8,100,19.2,21.6,50,45.4,34.1,36.8,41.5,42.7,168
Elon,30,7_11,14_16,105,105.2,17.7,15.8,52.5,49.1,33.9,35.3,30.4,33.4,169
Northern Illinois,30,9_9,17_13,100.5,100.8,18.5,19.9,44.8,46.4,35.6,35.2,41.7,41.3,170
High Point,29,13_5,18_11,109.2,109.5,15.9,20.6,49.8,53.3,38.2,34.7,35,32.3,171
Oral Roberts,29,6_10,12_17,106.4,107,17.3,15.9,48,50.2,38,37.4,36.6,33,172
Coastal Carolina,30,12_6,18_12,100.7,101.5,18.8,15.3,49.1,46.2,33.4,30.9,35.7,31.7,173
Lehigh,31,13_5,16_15,104.1,105,19.3,18.6,48.5,48.8,39.3,36.4,31.7,28.8,174
Detroit,29,9_9,14_15,109.8,110.8,17.8,17.2,50.6,53.7,36.5,35.6,40.5,46.5,175
East Tennessee St.,34,14_4,22_12,105.4,106.5,18.1,17.8,50.4,50.1,38.3,34.1,34.9,39.8,176
Bucknell,30,14_4,16_14,104.1,105.3,18.7,17.9,51.2,47.6,35.8,35.2,43.9,41.3,177
Eastern Washington,32,10_8,16_16,111.6,112.9,16.1,15.9,55.4,53.3,38.4,37.4,35.9,37.9,178
Kent St.,31,10_8,18_13,105.4,106.8,17.5,16.8,49,49.5,32.8,35.9,40,35.1,179
Portland,31,6_12,11_20,107.6,109.2,16.8,18.4,47,49.4,36.3,38.5,31.4,41.4,180
Winthrop,29,13_5,20_9,105.8,107.4,17.8,15.9,53.9,47.1,36.4,32.7,41.1,31.9,181
Denver,31,7_9,16_15,102.2,103.7,20.8,22.7,54.3,49.9,38.3,37.2,36.6,43.3,182
George Mason,32,5_13,11_21,101.4,103.1,18.6,10.2,45.7,46,29.2,35.3,34.4,30,183
Wagner,33,13_5,22_11,99.6,101.4,19.6,20.7,46.4,45.6,33.6,32.7,32.6,44.3,184
East Carolina,32,4_14,12_20,102.3,104.2,19.4,18.4,47.8,52.2,33.9,33.1,34.6,26.8,185
North Dakota,30,10_8,14_16,99.4,101.4,18.1,19.6,48.7,51,36.7,34.4,39.3,38.6,186
Auburn,31,5_13,11_20,100.4,102.4,18.9,17.8,44.3,49.6,34,34.8,41,40.1,187
Indiana St.,31,8_10,14_17,97.3,99.3,18.6,17.8,44.7,46.5,29.9,32.4,41.5,43.9,188
Western Michigan,30,7_11,11_19,102.4,104.5,17.9,17.1,46.3,51,33.7,35.6,43.8,38.5,189
UCF,30,6_12,12_18,99.9,102.1,21.3,13.4,50.1,46.4,31.8,32.3,37.2,25.1,190
Wofford,30,11_7,13_17,104.9,107.5,18,17.6,45.8,54.3,40.9,35.5,38.4,41.5,191
Texas A&M Corpus Chris,31,15_3,23_8,100.7,103.4,17.7,22.5,48.2,46.6,34.1,35.2,37.7,44.5,192
Cal Poly,28,4_12,8_20,106.6,109.6,15.1,15.9,44.9,50,35.4,40,35.2,40.2,193
Mercer,32,8_10,16_16,104.3,107.3,18.9,16.6,47.9,45.4,35.2,36.1,31.7,33.5,194
Washington St.,30,1_17,8_22,101.1,104,19.7,14.7,50.3,48.2,34.6,35.9,31.1,37.5,195
Loyola Marymount,30,6_12,13_17,103.5,106.6,16.2,20.2,45.7,51.6,33.9,37.7,28.4,42.7,196
Tulane,34,3_15,13_21,96.8,99.9,19.5,18.4,45.5,46.4,30.1,35.2,31.3,36.2,197
UTEP,32,10_8,18_14,102.9,106.2,17.1,19.2,51.3,48.3,36.5,34.2,40.9,36.6,198
Furman,33,11_7,17_16,103,106.3,20.5,19.2,54.2,49.9,31.9,35,43.3,38,199
Minnesota,31,2_16,8_23,99.6,102.9,16.5,17.8,45.6,48.7,31,38.2,37.1,34.2,200
Eastern Kentucky,30,6_10,14_16,105.7,109.2,20.3,20.3,54.2,51.3,39.5,37.6,40.3,42.3,201
Fairfield,33,12_8,19_14,102.8,106.2,17.6,18.9,50,49.1,35.4,33.7,32.6,34.1,202
Navy,32,9_9,18_14,98.8,102.2,19.9,20.3,50.8,45.9,30.5,35.4,42.8,39.4,203
Texas Southern,33,16_2,18_15,105,108.7,19.3,15.8,52.3,48.7,33.8,33.5,41.5,24.6,204
Pacific,26,6_12,6_20,99.9,103.8,19.8,16.5,49.3,47.2,32.2,36.6,38.4,49.3,205
NJIT,34,8_6,19_15,100.7,104.6,18.2,19.2,51.1,50.6,35.1,34.9,33.7,35.7,206
Saint Louis,32,5_13,11_21,96.4,100.2,19.5,18.5,46.9,50.5,32.8,32.8,37.8,39.3,207
Georgia Southern,29,10_10,12_17,103.9,108,16.2,20,45.6,52.5,33.3,33.8,37.7,44.5,208
San Francisco,29,8_10,14_15,105.5,109.6,17.8,16,48.5,47.8,35.1,38.6,39.1,35.8,209
Boston College,32,0_18,7_25,95,99.1,20,19.5,46.9,50,32.3,38.2,25.9,37,210
Tennessee Tech,29,11_5,17_12,106.6,111.2,17.8,16,51.3,48.5,35.9,36.4,44,32.8,211
IUPUI,31,9_7,12_19,97.8,102.1,18.9,18.1,45.6,51.3,33.3,33.8,31.9,38.9,212
St. John's,31,1_17,7_24,96.3,100.6,20.9,20.1,44.1,49.1,32,36.6,38,43.3,213
Texas St.,29,8_12,13_16,98.5,102.9,17.8,20.8,46,47.9,32.1,35.1,37.7,35.6,214
Idaho,32,12_6,19_13,98.3,102.8,22.7,18.9,46.1,48.1,36.3,34.3,44.6,41.7,215
Charlotte,33,9_9,14_19,103.4,108.2,16.4,18.3,47.7,52.7,38.2,39.3,33.2,30.9,216
Dartmouth,27,4_10,9_18,98.9,103.5,20.8,20.9,45.9,52.7,34.3,35.1,38.2,42.3,217
Missouri St.,31,8_10,12_19,100.1,104.8,18.6,17.6,45.3,49.1,32,37.2,39.3,34.1,218
UNC Greensboro,31,10_8,12_19,101.4,106.3,17.7,17.4,49.1,49,36.3,37.4,28,38.5,219
Montana St.,30,9_9,13_17,106.4,111.6,17.3,16.9,47.2,53.4,37.2,36.5,30.7,46.3,220
UC Riverside,31,5_11,12_19,99.6,104.6,19.7,17.2,47,47.6,34.5,34.8,36.8,38.3,221
FIU,30,7_11,11_19,102.2,107.3,19.3,14.2,50.7,47.1,36.8,33.1,35.6,35.7,222
South Dakota,30,5_11,12_18,104.7,109.9,16.4,19,50.5,50.9,36.4,39.8,30.1,40.9,223
Western Carolina,31,10_8,13_18,99.2,104.2,20,20.8,48.3,49.6,33,35.6,38.2,45,224
Tennessee Martin,33,10_6,18_15,103.3,108.7,18.2,17,49.8,50.8,34.4,33.8,35.6,30,225
Austin Peay,34,7_9,16_18,103.4,109.1,20.2,18.6,51,53.3,34.7,36.4,47,31.3,226
Boston University,33,11_7,18_15,101.7,107.4,19.6,17.1,51,50,36.1,33.3,37,33.9,227
Rider,33,8_12,13_20,98.1,103.6,19.2,18.2,48.9,45.7,31.5,34,35.4,32.4,228
New Hampshire,31,11_5,18_13,98.7,104.5,16.8,15.1,45,48.6,33.2,35.3,36.6,34.5,229
Santa Clara,30,7_11,10_20,101.1,107.2,16.9,16.7,45.2,50.4,34.8,34.4,33.8,36.8,230
La Salle,30,4_14,8_22,99.2,105.3,18.8,19.1,45.4,51.1,33.6,38.1,30.9,34.9,231
UC Davis,28,6_10,9_19,93,98.8,20.7,19.7,45.5,48.7,35.9,31.7,33.6,31.8,232
Canisius,33,8_12,14_19,106.6,113.3,15.9,19.6,47.5,53.6,34.1,38,36.9,39,233
Sam Houston St.,30,12_6,15_15,101.1,107.4,16.9,18.7,48,50.9,34.1,35.6,36.6,44.8,234
South Florida,33,4_14,8_25,97.6,103.8,21.9,14.3,46.2,46.9,28.6,31.9,33,35.6,235
San Jose St.,28,4_14,6_22,96.3,102.4,19.2,17.2,48.2,47.9,29.8,35.4,38.5,47.5,236
Gardner Webb,30,10_8,14_16,100.1,106.6,18.6,18.8,46,51.1,33.5,34.7,34.9,39.7,237
Saint Peter's,30,12_8,14_16,95.1,101.3,19.5,17.7,47,45.7,32.7,34.1,35.1,31.7,238
Cal St. Northridge,28,5_11,8_20,99.2,105.8,19.4,18.9,47.1,47.8,30.2,39.7,42.1,36,239
Army,32,9_9,18_14,98.6,105.2,18.5,16.4,49.3,48.2,33.4,34.9,31.7,32,240
Western Illinois,24,3_13,7_17,99.5,106.2,18.2,15.2,46,46.4,37.8,39.1,32,42.4,241
Bowling Green,32,5_13,14_18,99.1,105.8,18.5,17.1,47.2,47.3,35.4,37.9,40.2,35.9,242
Radford,29,9_9,14_15,102,109,19.3,17,49.5,51.6,34.4,33.8,29,34.3,243
Samford,31,4_14,11_20,101.1,108.1,19.6,20.9,51,48.9,31.9,37,44.7,42.9,244
Cal St. Fullerton,28,3_13,8_20,101.4,108.4,19,16.4,44.4,48.1,33.3,36.6,43.7,39.7,245
