Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
McNeese St.,25,8_10,12_17,99.2,111,19,15.2,47.3,48.4,34.6,35,32.7,31.5,292
Tennessee Martin,29,5_13,10_21,94.3,105.6,21.6,19,50.7,48.9,32.2,35.1,24.1,34.1,293
San Jose St.,29,1_17,4_26,95.5,106.9,23.6,14.9,46.2,53.3,36.2,35.4,34.2,30.8,294
Sacramento St.,30,4_14,7_25,98.6,110.5,17.9,17.5,47.7,50.9,34.6,37.2,27.8,33.4,295
Samford,30,6_12,10_22,106.5,119.4,19.1,18.7,53.3,58.3,37.2,38,30.8,28.5,296
Siena,32,4_14,8_24,96.1,107.8,21.7,15.6,44.7,50.1,36.7,34.9,36.4,42.1,297
Little Rock,30,4_14,7_25,93.4,105,21.7,19.9,47.3,49.4,31.8,35.1,32.1,40.5,298
Bethune Cookman,30,12_4,18_14,98.6,110.9,20.3,17.6,51,47.6,31.2,33.6,41.2,38.2,299
Binghamton,29,2_14,11_20,96.1,108.2,18.3,17,48.1,48.2,34.8,38.7,30,32.4,300
SIU Edwardsville,30,5_13,9_21,98.8,111.3,19.4,17.5,47.2,53.5,32.4,36.8,33,45.9,301
Dartmouth,26,3_11,7_20,96.9,109.5,20,18.1,49.7,55.5,36,35.1,32.8,25.6,302
East Carolina,30,4_14,10_20,96.2,108.7,20.6,17.3,49.6,50.6,30.5,35.3,28.7,31.1,303
Youngstown St.,30,6_12,8_24,101.1,114.5,19.4,19.4,46.5,57.4,33.2,40.8,28.4,39.8,304
Central Connecticut,32,7_11,14_18,97,109.9,21.8,16.6,51.8,48.9,32.9,36.4,32.6,30.1,305
Sacred Heart,30,5_13,10_21,95.6,108.4,21.5,14.6,50.3,50.9,29.9,33.9,30,33,306
Chattanooga,31,3_15,10_23,98.3,111.5,20.6,19.2,48.6,55.8,34.8,36.2,34.6,27.9,307
Marist,31,4_14,6_25,98.5,111.8,21.7,14.8,53,50.8,34.9,36.9,35.8,29.8,308
St. Francis NY,29,10_8,13_18,97.6,111,17.7,20.9,46.4,54.1,34.6,34.1,30.4,45.1,309
The Citadel,29,5_13,11_21,100.8,114.7,18.7,19.6,47.9,57.4,33.4,37.3,32.7,30.4,310
Kennesaw St.,28,6_8,10_20,98.3,111.9,19.2,18.8,47.5,56.8,36.9,32.8,35,32.9,311
Stetson,28,4_10,12_20,97.8,111.3,14.9,18.5,48.7,53.6,32.9,37.4,25,37,312
Western Carolina,30,8_10,12_19,95,108.1,21.7,21,45.3,54.3,33,36.3,31.8,36.1,313
Grambling St.,30,13_5,17_14,93.2,106.4,21,20.2,44.5,50,32.6,31.7,40.7,42.9,314
Norfolk St.,30,11_5,14_19,94.6,108.3,21.1,20.2,46.1,47.3,37,35.7,31.3,43.1,315
Charlotte,28,2_16,6_23,98.7,113,20.6,17.6,46.5,54.2,34.6,37.1,38.9,31.7,316
Savannah St.,30,12_4,15_17,99.7,114.3,16.7,20.9,51.5,58,30.2,36.2,29.3,30.8,317
Detroit,30,4_14,8_24,101.6,116.7,18.2,17.2,48.5,54.1,33.3,40.6,31.1,37.5,318
Loyola MD,30,6_12,9_22,95.7,110,18.9,18.7,48.1,54,31.3,36.8,33.3,40.4,319
American,30,3_15,6_24,96.5,111.1,20.4,20.4,50.7,53.6,33.8,38.3,30.4,40.7,320
Texas A&M Corpus Chris,26,8_10,11_18,93.7,107.9,23,21.2,46.7,51.6,34.4,35.5,37,46.1,321
Jacksonville,29,8_6,15_18,93.6,107.9,19.2,17.8,48.8,53.3,33,33,30,28.4,322
