Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
East Tennessee St.,35,16_4,23_12,103.0,97.3,20.1,20.9,48.8,44.9,34.6,34.2,44.5,35.2
Fairfield,33,15_3,25_8,96.9,91.7,21.0,24.1,47.9,43.3,30.0,32.0,38.9,31.5
Valparaiso,33,12_6,21_12,104.4,98.8,20.1,21.2,53.8,47.8,32.0,33.4,33.5,41.6
South Florida,33,3_15,10_23,103.1,97.6,23.6,16.4,46.5,46.0,30.3,34.4,38.1,38.8
Kent St.,36,12_4,24_12,104.9,99.3,18.8,20.6,47.7,47.3,33.7,31.1,33.9,31.3
Providence,32,4_14,15_17,107.4,102.0,17.6,19.5,47.9,49.8,31.5,32.7,37.6,30.0
UCF,32,6_10,20_12,103.7,98.4,21.0,19.5,50.6,43.6,33.2,35.4,45.8,32.7
Wright St.,31,10_8,17_14,103.9,98.8,17.4,24.0,46.9,53.7,35.9,32.3,38.4,43.5
Morehead St.,32,13_5,22_10,103.6,98.5,23.3,22.6,49.8,46.3,34.8,36.7,40.6,37.8
Arizona St.,31,4_14,12_19,103.9,98.9,18.9,19.9,48.4,47.5,35.1,34.6,29.0,39.3
Texas Tech,32,5_11,13_19,106.3,101.8,19.5,19.3,47.4,49.6,36.5,35.1,38.1,39.1
Rhode Island,34,9_7,20_14,101.8,97.5,18.2,20.7,47.3,48.9,33.7,30.1,30.4,37.0
Santa Clara,36,8_6,22_14,106.4,101.9,19.9,20.3,47.3,49.2,34.8,35.7,47.6,45.3
Montana,30,12_4,19_11,99.9,95.7,19.2,20.1,51.6,43.1,31.2,32.5,41.4,34.9
Saint Louis,30,6_10,11_19,98.0,94.1,20.8,21.5,48.8,46.2,32.4,34.5,32.7,40.6
Buffalo,33,8_8,19_14,102.2,98.2,22.7,22.4,50.9,44.1,37.5,36.7,35.8,37.9
Detroit,32,10_8,16_16,106.1,102.2,22.0,19.6,49.8,48.2,35.4,33.3,46.5,32.3
Akron,35,9_7,22_13,101.5,97.8,17.5,20.5,46.9,46.0,35.9,32.1,31.2,38.6
Oral Roberts,35,13_5,19_16,108.8,104.9,19.1,19.1,51.5,50.4,36.6,35.5,40.9,42.7
James Madison,33,10_8,21_12,105.6,102.0,19.0,17.8,49.1,46.2,37.8,36.2,38.5,36.5
South Carolina,30,5_11,14_16,99.7,96.4,19.3,21.4,43.9,45.5,31.3,35.0,27.2,39.5
LIU Brooklyn,33,16_2,27_6,106.4,103.1,20.1,19.8,50.9,50.1,36.1,29.7,49.7,26.2
St. Bonaventure,31,8_8,16_15,106.0,102.6,21.9,17.1,50.0,47.8,35.1,32.8,43.8,33.9
Austin Peay,31,13_5,18_13,102.0,98.8,20.6,23.4,48.9,48.7,35.2,32.7,40.9,36.9
Northern Colorado,30,13_3,19_11,104.5,101.3,21.6,20.1,44.9,45.9,38.3,35.2,43.4,43.2
Rider,34,13_5,23_11,105.3,102.1,20.0,18.6,50.7,44.5,39.1,32.8,35.0,33.2
Saint Peter's,34,11_7,20_14,93.6,90.9,22.9,21.6,42.7,40.7,34.4,30.6,38.9,42.1
Air Force,30,6_10,15_15,105.2,102.3,18.8,20.3,53.3,47.0,38.0,34.3,38.7,32.4
Ohio,35,9_7,19_16,106.1,103.3,18.9,21.6,48.0,49.4,35.4,35.5,37.3,40.0
Vermont,32,13_3,23_9,100.6,97.9,20.6,18.3,47.9,42.5,35.1,32.4,37.2,28.0
IUPUI,31,12_6,17_14,110.0,107.2,17.6,19.0,51.8,53.3,35.0,36.3,32.3,27.7
Murray St.,30,14_4,21_9,102.7,100.2,21.7,23.3,48.8,47.6,37.8,35.4,46.2,41.4
Loyola Chicago,31,7_11,16_15,104.6,102.1,19.4,20.8,45.8,48.8,36.2,36.0,36.9,33.8
SMU,32,8_8,17_15,102.7,100.2,22.6,21.6,54.9,45.5,38.9,38.0,34.6,31.6
Utah,29,6_10,12_17,101.3,99.1,20.1,15.8,47.1,45.9,33.5,34.2,36.6,37.5
Milwaukee,33,13_5,19_14,103.3,101.0,20.7,18.9,48.5,49.2,35.2,36.0,44.2,32.8
UC Santa Barbara,30,8_8,16_14,101.4,99.4,21.9,20.0,49.6,43.1,36.6,36.6,37.3,42.3
Idaho,31,9_7,17_14,104.0,102.0,22.2,19.7,49.5,47.0,37.9,32.1,38.1,31.7
Oklahoma,31,5_11,14_17,103.7,101.6,20.9,20.4,50.6,49.2,34.0,36.2,36.2,38.8
San Francisco,32,10_4,17_15,100.8,98.8,20.3,16.3,48.9,47.5,33.7,32.3,38.0,34.2
Pacific,29,8_8,14_15,103.3,101.7,18.8,17.1,49.0,47.9,35.3,34.9,35.0,29.3
Hawaii,30,8_8,17_13,100.0,98.6,23.0,18.6,50.0,42.9,35.0,33.3,42.5,36.5
Robert Morris,32,12_6,18_14,101.5,100.0,19.9,22.9,45.2,46.8,35.7,33.9,35.4,49.7
Northern Arizona,30,9_7,17_13,102.3,100.8,20.0,19.4,50.5,45.9,42.2,32.7,33.1,37.1
George Washington,31,10_6,17_14,101.0,99.6,19.7,22.7,45.1,46.8,33.6,36.5,37.6,36.3
Coastal Carolina,30,16_2,24_6,102.1,100.7,19.4,18.6,51.7,42.7,31.5,34.8,45.0,25.9
Nevada,31,8_8,12_19,102.9,101.5,20.7,17.8,46.2,46.4,34.8,34.6,42.6,41.0
Hofstra,32,14_4,20_12,107.5,106.0,15.9,19.0,48.0,47.1,35.4,38.0,35.5,35.2
Rice,30,5_11,12_18,103.7,102.3,19.1,20.7,47.0,48.9,34.2,38.4,42.9,45.3
Davidson,32,10_8,17_15,103.2,101.8,20.9,18.8,48.6,47.3,34.0,34.0,36.4,50.3
New Mexico St.,31,9_7,14_17,102.4,101.2,21.1,21.4,49.3,51.2,32.9,33.0,49.2,37.1
San Jose St.,32,5_11,16_16,105.0,103.8,15.8,17.0,41.5,49.3,36.9,34.1,37.5,38.0
East Carolina,31,8_8,15_16,103.3,102.3,20.8,20.5,46.1,48.9,35.9,33.8,49.4,40.3
Oregon St.,31,5_13,11_20,101.9,100.9,21.7,23.2,48.1,52.3,30.4,37.4,43.6,37.3
Western Michigan,33,11_5,20_13,103.1,102.1,20.2,18.7,47.6,46.9,34.4,35.3,36.4,36.7
North Dakota St.,27,8_10,12_15,103.5,102.6,18.8,18.3,49.5,48.4,36.7,34.1,39.8,38.4
Central Connecticut,31,11_7,19_12,99.7,99.0,21.1,23.4,47.4,46.6,32.8,32.0,36.1,33.4
Quinnipiac,32,13_5,22_10,102.3,101.7,18.2,19.1,45.7,45.7,34.4,33.6,35.2,46.8
Sam Houston St.,27,10_6,14_13,102.4,101.8,20.3,20.6,51.7,50.4,30.6,33.4,36.3,39.6
Green Bay,31,8_10,13_18,102.9,102.3,19.9,21.9,47.7,48.9,32.0,38.6,34.3,46.1
TCU,33,1_15,11_22,101.2,100.8,18.6,19.5,47.8,52.7,35.0,32.9,28.7,39.0
Western Carolina,32,12_6,17_15,98.1,97.9,20.0,22.4,46.2,51.3,33.7,31.3,30.6,48.4
Furman,31,12_6,20_11,102.9,102.7,20.7,19.1,48.7,47.4,37.6,32.4,41.7,41.1
Jacksonville,31,13_7,19_12,97.0,97.0,21.4,23.2,45.4,46.6,30.9,31.6,38.6,45.7
La Salle,33,6_10,15_18,105.4,105.4,21.0,18.8,47.7,48.8,36.4,35.7,32.9,35.5
Cal Poly,29,10_6,15_14,96.5,96.8,18.9,21.6,44.1,45.6,31.7,29.3,37.0,42.4
UNC Asheville,31,11_7,17_14,98.4,98.9,21.2,24.0,49.0,46.2,32.2,34.1,41.8,39.9
Evansville,31,9_9,15_16,100.2,100.8,19.6,22.2,47.4,51.6,35.6,35.2,46.8,43.0
Weber St.,29,11_5,15_14,102.0,102.8,19.4,17.0,45.4,45.3,40.6,37.1,35.6,39.0
Ball St.,30,10_6,18_12,101.9,102.9,19.8,21.3,48.6,47.4,33.7,33.9,50.4,31.6
American,31,11_3,22_9,102.3,103.3,17.7,16.5,50.5,44.6,33.8,36.1,37.5,37.4
IPFW,29,11_7,17_12,103.5,104.6,18.1,20.3,49.7,51.7,38.4,33.0,35.6,48.7
Massachusetts,29,7_9,14_15,96.6,97.7,20.1,19.9,45.2,45.1,28.6,33.0,37.3,41.8
Boston University,35,12_4,21_14,101.6,102.8,19.0,18.0,43.3,44.4,35.5,32.4,37.3,30.2
