Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Illinois St.,34,11_7,21_13,106.2,94.5,19.9,20.5,46.8,45.9,34.4,32.8,34.8,40.3
"Stephen F. Austin   12 seed, R64",31,17_1,26_5,111,98.8,20.3,24.5,55.4,48.3,37.3,33.7,41.9,49.1
Rhode Island,32,13_5,22_10,102.1,91,20.8,21.8,50.1,45,30.5,27.3,47.3,46
Alabama,33,8_10,18_15,110.1,98.2,18.7,18.9,52.3,46.5,32.2,32.6,43.7,39.5
Colorado St.,33,13_5,26_7,110,98.4,16.1,18,49,45.7,34.8,36.2,41.9,33.3
"Georgia St.   14 seed, R32",34,15_5,24_10,109.5,98,16.3,23.2,53.4,43.1,32.2,33.1,37.7,39.8
Murray St.,33,16_0,27_6,114.1,102.2,17.1,18.7,52.6,44.9,38.3,33.7,41.2,36.6
George Washington,35,10_8,22_13,107.2,96.2,18.7,18.3,47.3,44.9,35.2,31.9,39.9,28.9
Pittsburgh,33,8_10,18_15,113.2,101.7,15.7,17.4,48.6,49,33.6,34.9,34.8,37.8
"Buffalo   12 seed, R64",33,12_6,23_10,109.1,98,16.7,19.7,47.6,48,34.1,33,42.6,34.3
Arizona St.,34,9_9,18_16,107.9,97.1,20.7,19.1,49.9,48.6,35,36.2,42.1,34.1
"Valparaiso   13 seed, R64",31,13_3,25_6,105,94.5,19,18.6,48,42.3,38.4,33.4,36.6,33.4
Penn St.,34,4_14,18_16,103.9,93.9,18.2,17.8,46.8,43.6,33.4,32.6,34.7,41.5
Old Dominion,35,13_5,27_8,104.3,94.4,17.5,21,48.4,45.7,32.5,31.2,30.6,40.8
Memphis,32,10_8,18_14,104.7,95.1,20.2,19.2,48.1,43.8,32.8,30.4,31.6,38.7
Green Bay,31,12_4,22_9,102.6,93.3,18.5,20.8,51.8,44,28.3,33.7,39.3,39.8
Georgia Tech,31,3_15,12_19,102.1,92.9,19.6,18,46.1,49.9,26.7,31.9,31.1,33.8
Creighton,33,4_14,14_19,109.6,99.8,18.4,17.1,47.6,46.9,34.6,38,36.3,33.4
Boston College,32,4_14,13_19,108.6,99.2,18.8,18.8,52.1,49,32.4,33.5,35,40.8
Seton Hall,31,6_12,16_15,107.7,98.6,18.7,18,46,49,35,30,38.1,38
Kansas St.,32,8_10,15_17,104.6,96.2,20.9,20.2,46.9,49.5,33.5,33.5,46,41
Marquette,32,4_14,13_19,104,95.6,19.3,21,48.8,46.4,34.4,36,35.8,30.3
"UC Irvine   13 seed, R64",32,11_5,19_13,105.1,96.8,18.2,17.2,47.8,42.4,38.2,33.6,30.2,35.3
Tulsa,33,14_4,23_10,100.6,92.9,17.7,19.7,46.5,42.8,32.3,33.3,41.4,30.9
Connecticut,35,10_8,20_15,105.3,97.4,18.6,17.9,48.4,42.8,35.4,33.2,32.3,32.6
Florida St.,33,8_10,17_16,104.1,96.2,21.9,18,51.4,46.5,31.3,32.5,46.9,37.9
"Harvard   13 seed, R64",28,11_3,20_8,102.4,94.9,18.4,20.1,45.5,44.5,34.3,34,38.9,32.9
Oregon St.,30,8_10,16_14,98.2,91.1,19.1,23.7,46,44.4,32,30,36.8,44.3
Louisiana Tech,35,15_3,26_9,105.7,98.1,15.6,22.4,51.4,45.5,32.9,33.6,33.7,31.3
Central Michigan,29,12_6,20_9,113.2,105.1,15.1,19.7,53.7,51.7,36.9,34.4,36.6,36.2
Sam Houston St.,31,15_3,22_9,101.6,94.4,19.7,20.4,47.3,43.9,32.1,32.2,46.3,41.1
Toledo,33,11_7,20_13,111.6,103.8,18.1,16.2,51.2,51,36.6,31.7,41.2,31
UNLV,32,8_10,17_15,106.5,99.4,17.3,16.2,48,42,36.1,35.1,32.7,29.9
Yale,30,11_3,20_10,104.2,97.2,20.4,19,47.3,48.1,36.5,31,40.9,33.1
Colorado,34,7_11,16_18,105.9,99,19.9,16.9,47.7,46.5,33.5,35.3,40.8,33.9
UTEP,33,13_5,22_11,104.7,97.8,18.8,18.7,50.9,45.2,36.6,33.6,43.8,31.9
Wake Forest,32,5_13,13_19,104.8,98.1,19.3,17.1,46.5,51.1,33.6,33.8,41.5,35.2
San Diego,30,8_10,14_16,102,95.5,18.4,21.3,46,46.9,34.5,33.7,38.4,42
UC Santa Barbara,31,11_5,17_14,108.1,101.3,16.9,17.9,46.6,45.2,37,35.4,32,39.9
La Salle,33,8_10,17_16,98.9,92.9,19.9,20.1,46.1,45.1,32.1,31.6,36.4,34.4
Tennessee,32,7_11,16_16,107.5,101,19.7,22.6,47.4,49.1,33.1,37.1,32.3,43.5
South Dakota St.,33,12_4,22_11,106.7,100.2,16.9,18.1,48.6,45,38.1,34.7,40.4,41.2
Akron,34,9_9,20_14,103.4,97.1,18.8,18.8,46.7,43.8,34.9,33,31.3,41
Hawaii,33,8_8,20_13,104.2,98.1,18.7,23.4,49.3,45.2,32.8,34.8,36.7,42
"New Mexico St.   15 seed, R64",32,13_1,21_11,103.9,98.1,21.8,20.6,49.3,46.4,36.2,30.8,44.3,32.5
"Northeastern   14 seed, R64",35,12_6,23_12,107,101,21.5,15.5,53,49.1,38.6,34.4,41.4,25
California,33,7_11,18_15,102.6,97,16.6,14.3,47,45.6,35.9,33.4,30.3,38.8
"Wofford   12 seed, R64",33,16_2,26_7,102.3,96.8,17.2,20,49.1,47.3,36.8,30.9,37.6,36.4
Nebraska,31,5_13,13_18,98.5,93.2,19.4,20.6,48,44.7,28.4,33.4,36.5,38.5
Cleveland St.,32,11_5,17_15,105.5,100.5,19,21,48.9,45.6,37.9,36.2,31.1,43.7
Washington,31,5_13,16_15,107.1,102,17.5,16.8,48.9,46,33.4,33,33.9,31.7
Iona,35,17_3,26_9,110.9,105.7,17.2,16.7,51.3,45.7,39.6,35.5,37.4,28.5
Portland,31,7_11,15_16,107.7,102.7,18.3,17.2,46.9,49,37.8,34.1,36.1,35.9
Northwestern,32,6_12,15_17,105.7,100.8,18.1,15.5,48.3,43.8,35.9,37.7,28.6,32.8
UC Davis,30,14_2,23_7,109.9,104.9,20.9,17.9,51.7,46.5,44.1,34.6,39.3,33.3
San Francisco,31,7_11,13_18,104.3,99.8,17.9,18.9,50.7,46.9,33.7,35.5,41,38.7
Evansville,35,9_9,23_12,104,99.7,19.3,19.9,51.8,47.5,35.4,35.5,44.3,31.4
North Carolina Central,30,16_0,22_8,102.5,98.4,19.8,20.2,53.1,41.3,35.6,29.1,37.2,41.1
Bowling Green,32,11_7,21_11,104.2,100.1,18.4,19.5,48.6,46.1,33.8,32.6,32.4,32.2
Utah St.,30,11_7,17_13,105.8,101.6,16.3,17,48.5,46.3,39.4,29.9,36.4,29.1
"Wyoming   12 seed, R64",33,11_7,23_10,102.1,98.2,18.8,17.9,54.4,44,32.6,34.9,40.4,27
William & Mary,31,12_6,18_13,111.2,106.9,17.5,17.6,54.8,49.1,38.9,35.3,35.5,31.9
Hofstra,34,11_7,20_14,108.7,104.6,16,19.6,50.9,48.8,36.2,33.9,39.8,38.7
St. Bonaventure,31,10_8,18_13,102.4,98.5,18.9,19.7,47.1,45.3,31.4,36.2,37.9,33.9
Kent St.,34,12_6,22_12,105.3,101.4,17.8,18.2,46.7,44.8,36.6,32.1,37.1,39.5
Pepperdine,31,10_8,17_14,98,94.4,19.3,19.1,46.6,47.7,31.8,27.3,37,33.8
Massachusetts,32,10_8,17_15,104.5,100.7,20.5,17.5,48.4,47.1,29.6,35,42.4,35.2
Auburn,34,4_14,14_20,105.3,101.6,18.9,21.3,43.4,53.8,35,33.3,48.8,41.9
DePaul,32,6_12,12_20,107.5,103.8,19.8,18.8,49.2,52.7,35.2,31.2,36.5,48.7
Louisiana Lafayette,33,13_7,19_14,104.1,100.6,20.5,18.4,49.2,47.8,34.7,32.3,39.6,37.4
Long Beach St.,31,10_6,14_17,101.4,98.3,20.2,21,46.3,49,33.2,33,34.4,36.9
Vermont,33,12_4,19_14,100.7,97.6,20.1,20.1,51.7,42.2,34.9,30.9,42.4,40.4
Texas Tech,32,3_15,13_19,101.4,98.4,21.8,20.1,44.5,48.2,32.3,33.9,46.1,36.5
Mississippi St.,31,6_12,12_19,99.6,97,23.3,18.9,47.9,47,31.1,33.2,46.4,36.5
"Albany   14 seed, R64",33,15_1,24_9,104.9,102.2,18.8,20.1,47.9,46.2,35.8,36.2,39,30.4
"UAB   14 seed, R32",35,12_6,19_16,102.7,100.1,20.1,19.7,46.6,47.4,33.2,31.9,35.7,33.6
Loyola Chicago,35,8_10,22_13,103.8,101.3,21,20.2,50.6,50.1,39.3,31.8,33.3,30.2
"Eastern Washington   13 seed, R64",32,14_4,23_9,110.1,107.6,15.9,17.8,52.2,49.2,39.3,38.7,35.2,36
New Mexico,31,7_11,15_16,99,97,20.2,18.6,48.6,46.4,30.8,31.4,38.4,32.8
Eastern Michigan,31,8_10,17_14,99.4,97.4,17.8,21.5,46.7,44,31.4,33.1,41.5,42.5
Stony Brook,33,12_4,21_12,99.9,98.1,18.6,17.7,45.1,43,32.1,34.3,32.4,32.2
"Belmont   15 seed, R64",32,11_5,21_11,108.7,106.8,20.3,18.5,56.4,51.2,37.7,34.3,32.2,28.2
Eastern Kentucky,31,11_5,19_12,103.4,101.8,17.9,26.9,54.9,49.9,35.1,39.2,32.2,35
Cal Poly,27,6_10,11_16,101.5,100,14.8,17.3,42.5,47.3,31.6,35.6,31.5,31.3
"Coastal Carolina   16 seed, R64",30,12_6,20_10,104.5,103,17.5,16.9,48.1,45.8,35.9,33.8,38.9,35
Morehead St.,32,10_6,15_17,102.5,101,20.1,21.2,48.4,48.4,34,33.7,34.7,55.2
USC,32,3_15,12_20,99,97.8,20,19.1,45.8,47.2,32.9,32.9,33.8,31.2
Princeton,29,9_5,15_14,105.4,104.5,18.8,18.5,53,47.2,37.3,36.9,46.1,41.8
Saint Joseph's,31,7_11,13_18,98.2,97.3,19.2,19,45.5,46.3,29.9,34.8,35.2,31.3
"Manhattan   16 seed, R68",33,13_7,19_14,100.2,99.4,21.1,23.9,48.8,48,33.6,32.4,47.4,52.3
Mercer,33,12_6,17_16,103.3,102.5,17.6,19.2,48.3,46.3,34.2,35.2,40.2,31.9
Santa Clara,30,7_11,12_18,104.8,104,17.1,19.1,46,49.2,34.6,37.7,31.1,43.2
UNC Wilmington,31,12_6,17_14,100.5,99.7,18,20.4,46.3,46.9,34,33.5,37.5,47.4
Virginia Tech,33,2_16,11_22,105.5,104.8,18.1,18.9,47.7,49.6,38.9,35.1,31.9,33.8
Georgia Southern,28,14_6,19_9,98.2,97.5,18.3,22,47.5,45.9,31.4,31.2,36.2,32.7
Columbia,27,5_9,12_15,106.4,105.7,19.4,16.2,49.7,47.2,35.9,33.1,28.2,38.2
Canisius,33,11_9,18_15,101.2,100.7,18.4,21.5,46.1,46.1,31.8,32.2,32,40.7
Western Michigan,32,10_8,18_14,105.7,105.2,18.1,18.9,49.9,51.1,35.9,35.4,42.7,36.7
Montana,31,14_4,18_13,104.5,104.2,18,19.9,52.9,49.4,36.6,36.1,33.3,43.6
"North Florida   16 seed, R68",32,12_2,20_12,105.2,105,18.3,17.9,51.1,48.3,38.1,31.3,39.7,34.1
Middle Tennessee,35,9_9,18_17,100.7,100.5,20.3,20.3,44.2,48,36.3,35.7,36.8,42.2
"North Dakota St.   15 seed, R64",31,12_4,21_10,100.8,100.7,16,16.5,45.5,45,38.2,36.2,35.7,30.7
Indiana St.,30,11_7,14_16,100.5,100.4,20.9,20.8,46.6,44.7,35.7,38.6,42.3,37.6
Quinnipiac,30,8_12,15_15,101.4,101.3,20.4,14,43.1,41.9,30.7,35.1,35.5,33.4
Washington St.,31,7_11,13_18,107.4,107.4,17.3,14.1,48.7,50.8,34.2,37.4,39.7,34.1
Louisiana Monroe,34,14_6,20_14,98,98,18,17.2,46,44.3,29.9,30.2,26.1,29.7
Rider,33,15_5,21_12,98.9,99,19.2,21.6,49,46.6,33.4,32.7,35.6,37.7
Charlotte,32,7_11,14_18,106.2,106.4,19.6,18.4,49.8,48.3,37.6,36.5,36.9,33.1
Oakland,31,11_5,14_17,109,109.2,18.4,16.1,51.7,52.8,35.5,36.5,38.1,34.6
High Point,30,13_5,20_10,104.5,104.9,17.5,19.8,49.3,49.8,38.6,35.8,34.1,31.5
Western Kentucky,30,12_6,18_12,101.6,102,18.9,18.9,47.2,48.1,35.6,33.1,38.7,34.1
Tennessee Martin,32,10_6,19_13,106.3,106.8,18.6,15.4,50,49.4,39.4,35.4,31.4,28.8
Winthrop,29,12_6,16_13,103.1,103.8,17.7,19,49.2,45.9,35.5,32.7,35.9,38.4
Chattanooga,30,15_3,20_10,102.4,103.3,19.4,18.7,49.9,46.3,34.4,35,43.8,43.2
USC Upstate,32,8_6,20_12,102,103.1,16.9,20.3,49.2,46.6,33.2,31.9,30.4,30.3
NJIT,29,0_0,17_12,103.3,104.5,20.5,19,49.8,44.6,37.1,33.1,39,44.1
Houston,32,4_14,13_19,100.9,102.3,20.5,19.9,45.2,48.4,32,33.7,31.5,33.2
Colgate,32,12_6,15_17,105.6,107.2,18.8,16.5,53.8,47.8,39.5,37.8,27.4,35.1
Radford,31,12_6,19_12,102.7,104.3,18.1,18.8,50.5,47.8,32.6,33.4,35.4,36.3
Lehigh,29,10_8,15_14,98,99.5,19.9,17.4,47.8,44,34.8,33.9,36.2,31.2
Northern Arizona,37,13_5,22_15,100.1,101.7,17.7,16.7,42.9,49.1,34.8,31.7,36.4,38.4
Rutgers,32,2_16,10_22,96.4,98,20.1,18.1,43.3,49.3,29.5,33.7,32.6,32
Fordham,30,4_14,9_21,101,103,22.2,18.7,47.8,49.6,29.8,34.1,33.1,41.7
St. Francis NY,34,15_3,22_12,100.2,102.4,19.8,20.2,47.5,44.7,29.1,36.7,40.9,40.2
Missouri,31,3_15,8_23,99.3,101.5,20.2,17.2,44.2,48,32.5,34.4,32.5,43.9
UT Arlington,30,10_10,15_15,101.3,103.7,20.8,19.6,50.8,47.8,31.3,31.8,38.1,42.2
Monmouth,33,13_7,18_15,98,100.4,19.9,21.4,46.7,44.3,33.8,34.2,41,37.2
Detroit,31,7_9,13_18,101.1,103.6,19.3,21.2,46.3,53,37.9,33.7,32.4,48.3
Southern Illinois,32,4_14,11_21,98.1,100.5,20.8,21.3,44.3,48.2,33.3,38.1,41,40.8
"Robert Morris   16 seed, R64",35,12_6,20_15,100.7,103.3,19.8,21.8,47.4,48.3,37.5,34.1,35.5,37.6
George Mason,30,4_14,8_22,101.2,103.8,21.9,18.5,44.9,48.4,31.6,35.3,41.1,44.7
Saint Peter's,34,8_12,16_18,97.3,99.9,19.5,20.9,44.6,44.3,34.3,31.2,44,45.8
Florida Gulf Coast,30,11_3,19_11,99.4,102,17.7,17.3,47,45.8,33.9,29.6,33.1,34.6
New Hampshire,30,11_5,17_13,98.4,101,18.7,17.1,45.9,45.6,37.4,31.1,36.1,42.6
Milwaukee,28,9_7,12_16,100.8,103.6,20,16.5,48.6,48.6,33.2,38.6,36.2,31.6
IPFW,28,9_7,13_15,104.5,107.5,18.7,16,52.6,49.9,36.3,36,41.1,27.7
Northern Illinois,29,8_10,13_16,100.1,103.3,21.7,21.4,47.2,52.5,32.2,33.9,47.1,40.9
Fresno St.,30,10_8,13_17,100.6,103.8,17.2,20.3,47.2,48,31.3,34.8,38.8,44.3
Oral Roberts,32,10_6,17_15,104.1,107.5,17.6,18.6,45.6,48.8,35.8,37.5,44.5,37.8
East Tennessee St.,28,8_10,14_14,101.1,104.5,18.7,21.4,45.5,49.5,36.7,35.8,39.8,42.3
Charleston Southern,28,13_5,16_12,103.9,107.4,17.2,18.9,46.7,50.5,33.7,36.7,34.9,32.4
Dartmouth,29,7_7,14_15,98.8,102.1,20.3,21.2,47.9,47.8,34.6,35.4,35.7,42.7
Rice,29,8_10,10_19,100.4,103.8,22.1,19.6,47.6,49,37.3,34.5,33.7,40.1
Texas A&M Corpus Chris,32,13_5,18_14,99.3,103,19.4,20.6,48.7,48.3,33.5,32.2,51,46.1
Southeast Missouri St.,28,7_9,11_17,101.8,105.7,19.2,19.3,48.1,46.2,33.7,39.2,36.4,41.8
Denver,30,6_10,12_18,103.5,107.5,19.1,20.4,55.5,51.7,38,37.1,31.2,51.2
Bucknell,33,13_5,18_15,103.2,107.1,17.1,14.5,46.2,47.7,38.1,36.6,40.3,38.4
Pacific,28,4_14,9_19,102.4,106.3,19.8,16.2,44.3,50.7,34.2,36.1,39.4,43.1
East Carolina,31,6_12,12_19,102.2,106.1,18,19.2,45.2,53,35.6,31.6,29.9,34.1
St. Francis PA,31,9_9,15_16,97.9,101.8,19.4,20.6,50.3,50,33.1,32.4,34.6,30.1
American,33,8_10,17_16,99.8,103.8,19.4,21.8,51.8,50.9,37.4,34.2,34.4,33
Western Carolina,30,9_9,13_17,100.5,104.7,20.1,20.7,47.2,48.6,34.8,34.9,34.6,52.5
"Lafayette   16 seed, R64",32,9_9,19_13,109.8,114.5,17.1,16.8,52.8,51.5,40.8,38,30.4,27.5
UC Riverside,29,7_9,12_17,96.1,100.2,20.2,18.7,45.1,44.6,33,39.7,33.7,42.5
Tulane,30,6_12,14_16,97.6,101.8,19.9,20.3,45.5,49.6,32,33.7,34.7,36.1
UTSA,28,8_10,12_16,104.2,108.7,18.2,20.3,47.3,51.5,32.7,36.7,42.1,29.7
James Madison,33,11_7,19_14,103.1,107.6,20.3,17.9,49.7,48.2,37.2,35.7,42.2,31.9
Duquesne,30,6_12,11_19,107,111.7,18.3,16,49.5,47.7,36.2,38.5,32.5,33.8
Gardner Webb,31,10_8,16_15,105.2,109.8,17.4,17.1,50.4,51.9,34.6,37.8,37.7,29.1
North Texas,29,8_10,12_17,98.6,103,20.1,20.4,47.8,48.1,29.9,34.2,40,38.2
Cornell,29,5_9,12_17,93.9,98.1,19,19.3,44.1,43.2,30.3,33.3,39.3,41.5
Sacramento St.,31,13_5,19_12,105.9,110.9,16.6,19.6,50.9,54.7,40.8,34.8,35.5,32.3
Air Force,29,6_12,12_17,105,110.2,19.2,20.2,53.9,51.5,35.4,36.6,30.8,35.5
Arkansas Little Rock,30,8_12,12_18,102.9,108,15.6,19.9,45.8,49.1,34,36.3,36,40.8
Norfolk St.,32,12_4,18_14,102.3,107.4,20.7,18,52.2,46.3,34.5,33.9,42.7,39.4
Seattle,32,7_7,16_16,96.6,101.7,22,17.3,47.5,45.1,37.8,33.3,36.4,33.5
Boston University,29,9_9,12_17,103.9,109.3,19.4,16.3,50.8,50.9,36.8,37.4,44.9,33.6
South Dakota,31,9_7,15_16,101,106.4,16.7,17.5,44.2,51.1,35.8,33.9,33.7,35.6
Texas St.,28,7_13,11_17,91.8,96.7,19.9,23.1,42.8,48.6,31.1,30.5,36.5,36.6
Ohio,30,5_13,10_20,100.8,106.3,18.7,15.4,49,46.8,34,35.9,28.9,32.2
Idaho,28,8_10,11_17,104.7,110.8,17.5,15.4,49.2,53,41,36.3,38.6,41.5
Miami OH,31,8_10,12_19,99.1,105,19.4,20.6,48.3,53.7,34.4,34.9,38.7,42.5
Drexel,29,9_9,11_18,98.2,104.1,17,18.5,42.6,49,33,35.1,33.1,35.7
Northwestern St.,28,13_5,15_13,109.3,115.9,15.9,19.6,51.6,51.8,36.8,40.1,35.1,36.9
"Texas Southern   15 seed, R64",35,16_2,22_13,101.9,108.1,19.7,18.7,50,48.5,32.2,34.4,46.8,33.1
Maryland Eastern Shore,33,11_5,18_15,100.9,107.1,23.4,21.3,48.9,52.6,38.2,32.4,47,41.1
Northern Kentucky,28,7_7,11_17,102.4,108.7,17.8,16.6,51.9,49.2,33.4,35.5,30,45.3
Mount St. Mary's,30,11_7,15_15,96.1,102,19,21.3,45.5,48.5,33,34.8,30.4,35.6
Holy Cross,29,8_10,13_16,99.6,105.8,17,21.6,45.4,51.7,33.7,37.5,34.9,41.3
Bryant,31,12_6,16_15,102.1,108.8,18.3,16.6,46.9,48.9,34.6,31.5,32.8,35.9
